"session_start_timestamp","feature","feature_start_timestamp","feature_start_timer","feature_end_timer"
2019-02-16 01:39:12,"f.min","02/16/2019 01:39:12",1550299152305.22,1550299152308.21
2019-02-16 01:39:12,"f.mean","02/16/2019 01:39:12",1550299152309.21,1550299152312.2
2019-02-16 01:39:12,"f.median","02/16/2019 01:39:12",1550299152313.19,1550299152317.18
2019-02-16 01:39:12,"f.max","02/16/2019 01:39:12",1550299152318.18,1550299152321.17
2019-02-16 01:39:12,"f.sum","02/16/2019 01:39:12",1550299152322.17,1550299152324.17
2019-02-16 01:39:12,"f.IQR","02/16/2019 01:39:12",1550299152326.16,1550299152330.15
2019-02-16 01:39:12,"f.sd","02/16/2019 01:39:12",1550299152332.14,1550299152336.13
2019-02-16 01:39:12,"f.variance","02/16/2019 01:39:12",1550299152338.13,1550299152342.12
2019-02-16 01:39:12,"f.coeff.variation","02/16/2019 01:39:12",1550299152343.11,1550299152348.1
2019-02-16 01:39:12,"f.range","02/16/2019 01:39:12",1550299152349.1,1550299152351.09
2019-02-16 01:39:12,"f.sd.greater.range","02/16/2019 01:39:12",1550299152353.09,1550299152357.08
2019-02-16 01:39:12,"f.count.above.mean","02/16/2019 01:39:12",1550299152359.07,1550299152362.06
2019-02-16 01:39:12,"f.count.below.mean","02/16/2019 01:39:12",1550299152364.06,1550299152367.05
2019-02-16 01:39:12,"f.count.negative","02/16/2019 01:39:12",1550299152368.05,1550299152371.04
2019-02-16 01:39:12,"f.count.positive","02/16/2019 01:39:12",1550299152372.04,1550299152375.03
2019-02-16 01:39:12,"f.count.below.1sigma","02/16/2019 01:39:12",1550299152376.03,1550299152381.01
2019-02-16 01:39:12,"f.count.above.1sigma","02/16/2019 01:39:12",1550299152382.01,1550299152387
2019-02-16 01:39:12,"f.count.below.2sigma","02/16/2019 01:39:12",1550299152387.99,1550299152392.98
2019-02-16 01:39:12,"f.count.above.2sigma","02/16/2019 01:39:12",1550299152393.98,1550299152397.97
2019-02-16 01:39:12,"f.count.below.3sigma","02/16/2019 01:39:12",1550299152399.96,1550299152404.95
2019-02-16 01:39:12,"f.count.above.3sigma","02/16/2019 01:39:12",1550299152406.94,1550299152410.93
2019-02-16 01:39:12,"f.entropy","02/16/2019 01:39:12",1550299152412.93,1550299152423.9
2019-02-16 01:39:12,"f.mssd.lag1","02/16/2019 01:39:12",1550299152425.89,1550299152428.89
2019-02-16 01:39:12,"f.mssd.lag2","02/16/2019 01:39:12",1550299152430.88,1550299152433.87
2019-02-16 01:39:12,"f.mssd.lag3","02/16/2019 01:39:12",1550299152434.87,1550299152437.86
2019-02-16 01:39:12,"f.mean.change","02/16/2019 01:39:12",1550299152439.86,1550299152442.85
2019-02-16 01:39:12,"f.median.change","02/16/2019 01:39:12",1550299152444.84,1550299152449.86
2019-02-16 01:39:12,"f.min.change","02/16/2019 01:39:12",1550299152450.85,1550299152453.85
2019-02-16 01:39:12,"f.max.change","02/16/2019 01:39:12",1550299152455.84,1550299152458.83
2019-02-16 01:39:12,"f.sum.change","02/16/2019 01:39:12",1550299152460.83,1550299152463.82
2019-02-16 01:39:12,"f.prob.acute.change.1","02/16/2019 01:39:12",1550299152464.82,1550299152631.01
2019-02-16 01:39:12,"f.prob.acute.change.2","02/16/2019 01:39:12",1550299152633.01,1550299152798.43
2019-02-16 01:39:12,"f.prob.acute.change.3","02/16/2019 01:39:12",1550299152799.46,1550299152965.64
2019-02-16 01:39:12,"f.prob.acute.change.4","02/16/2019 01:39:12",1550299152966.64,1550299153128.23
2019-02-16 01:39:12,"f.prob.acute.change.5","02/16/2019 01:39:13",1550299153129.21,1550299153326.97
2019-02-16 01:39:12,"f.prob.acute.change.6","02/16/2019 01:39:13",1550299153327.96,1550299153486.05
2019-02-16 01:39:12,"f.prob.acute.change.7","02/16/2019 01:39:13",1550299153488.02,1550299153639.28
2019-02-16 01:39:12,"f.prob.acute.change.8","02/16/2019 01:39:13",1550299153641.25,1550299153782.93
2019-02-16 01:39:12,"f.prob.acute.change.9","02/16/2019 01:39:13",1550299153783.92,1550299153923.59
2019-02-16 01:39:12,"f.prob.acute.change.95","02/16/2019 01:39:13",1550299153925.58,1550299154062.22
2019-02-16 01:39:12,"f.prob.acute.change.99","02/16/2019 01:39:14",1550299154063.22,1550299154203.47
2019-02-16 01:39:12,"f.count_NA","02/16/2019 01:39:14",1550299154204.46,1550299154207.46
2019-02-16 01:39:12,"f.length","02/16/2019 01:39:14",1550299154209.45,1550299154212.44
2019-02-16 01:39:12,"f.perc.missing","02/16/2019 01:39:14",1550299154213.44,1550299154216.43
2019-02-16 01:39:12,"f.prop.missing","02/16/2019 01:39:14",1550299154217.43,1550299154220.42
2019-02-16 01:39:12,"f.ratio.unique.values","02/16/2019 01:39:14",1550299154221.42,1550299154224.41
2019-02-16 01:39:12,"f.perc.unique.values","02/16/2019 01:39:14",1550299154225.41,1550299154229.4
2019-02-16 01:39:12,"f.kurtosis","02/16/2019 01:39:14",1550299154230.4,1550299154233.39
2019-02-16 01:39:12,"f.skew","02/16/2019 01:39:14",1550299154235.38,1550299154238.37
2019-02-16 01:39:12,"f.quantile_10","02/16/2019 01:39:14",1550299154239.37,1550299154246.35
2019-02-16 01:39:12,"f.quantile_25","02/16/2019 01:39:14",1550299154247.35,1550299154254.33
2019-02-16 01:39:12,"f.quantile_30","02/16/2019 01:39:14",1550299154255.33,1550299154262.31
2019-02-16 01:39:12,"f.quantile_40","02/16/2019 01:39:14",1550299154263.31,1550299154270.32
2019-02-16 01:39:12,"f.quantile_50","02/16/2019 01:39:14",1550299154272.31,1550299154278.29
2019-02-16 01:39:12,"f.quantile_60","02/16/2019 01:39:14",1550299154280.29,1550299154287.27
2019-02-16 01:39:12,"f.quantile_70","02/16/2019 01:39:14",1550299154288.27,1550299154295.25
2019-02-16 01:39:12,"f.quantile_75","02/16/2019 01:39:14",1550299154296.25,1550299154303.2
2019-02-16 01:39:12,"f.quantile_80","02/16/2019 01:39:14",1550299154304.22,1550299154311.18
2019-02-16 01:39:12,"f.quantile_90","02/16/2019 01:39:14",1550299154312.18,1550299154319.16
2019-02-16 01:39:12,"f.quantile_95","02/16/2019 01:39:14",1550299154320.18,1550299154327.16
2019-02-16 01:39:12,"f.first.min","02/16/2019 01:39:14",1550299154329.16,1550299154331.16
2019-02-16 01:39:12,"f.first.max","02/16/2019 01:39:14",1550299154333.15,1550299154335.14
2019-02-16 01:39:12,"f.find.peaks","02/16/2019 01:39:14",1550299154337.14,1550299154342.12
2019-02-16 01:39:12,"f.count.peaks","02/16/2019 01:39:14",1550299154343.12,1550299154348.1
2019-02-16 01:39:12,"f.which.below.1sigma","02/16/2019 01:39:14",1550299154349.1,1550299154354.08
2019-02-16 01:39:12,"f.which.above.1sigma","02/16/2019 01:39:14",1550299154355.08,1550299154360.08
2019-02-16 01:39:12,"f.which.below.2sigma","02/16/2019 01:39:14",1550299154361.07,1550299154367.03
2019-02-16 01:39:12,"f.which.above.2sigma","02/16/2019 01:39:14",1550299154368.03,1550299154373.03
2019-02-16 01:39:12,"f.which.below.3sigma","02/16/2019 01:39:14",1550299154374.01,1550299154379
2019-02-16 01:39:12,"f.which.above.3sigma","02/16/2019 01:39:14",1550299154380.99,1550299154386.01
2019-02-16 01:39:12,"f.autocorrelation.lag1.string","02/16/2019 01:39:14",1550299154391.99,1550299154401.96
2019-02-16 01:39:12,"f.autocorrelation.lag1.1st.val","02/16/2019 01:39:14",1550299154403.96,1550299154413.51
2019-02-16 01:39:12,"f.autocorrelation.lag1.2nd.val","02/16/2019 01:39:14",1550299154415.5,1550299154426.47
2019-02-16 01:39:12,"f.autocorrelation.lag2.string","02/16/2019 01:39:14",1550299154427.46,1550299154438.44
2019-02-16 01:39:12,"f.autocorrelation.lag2.1st.val","02/16/2019 01:39:14",1550299154439.44,1550299154449.41
2019-02-16 01:39:12,"f.autocorrelation.lag2.2nd.val","02/16/2019 01:39:14",1550299154451.41,1550299154461.36
2019-02-16 01:39:12,"f.partial.autocorrelation.lag1.string","02/16/2019 01:39:14",1550299154462.35,1550299154481.32
2019-02-16 01:39:12,"f.partial.autocorrelation.lag1.1st.val","02/16/2019 01:39:14",1550299154483.32,1550299154502.25
2019-02-16 01:39:12,"f.partial.autocorrelation.lag1.2nd.val","02/16/2019 01:39:14",1550299154503.24,1550299154522.22
2019-02-16 01:39:12,"f.partial.autocorrelation.lag2.string","02/16/2019 01:39:14",1550299154523.22,1550299154542.74
2019-02-16 01:39:12,"f.partial.autocorrelation.lag2.1st.val","02/16/2019 01:39:14",1550299154543.73,1550299154562.68
2019-02-16 01:39:12,"f.partial.autocorrelation.lag2.2nd.val","02/16/2019 01:39:14",1550299154564.68,1550299154583.66
